,Company,Sector,Industry,Country,Website,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio, / 21.54,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS growth next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility (Week),Volatility (Month),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
0,ZYXI,"Zynex, Inc.",Healthcare,Medical Distribution,,RUT,17.12,0.46,40.40%,36.44M,6.06%,286.86M,14.1,0.56,0.22%,19.85M,15.13%,17.20M,,0.1,29.70%,28.43%,Perf Quarter,177.40M,1.62,0.10%,2.83%,5.64M,37.80%,1.71,4.58,37.04%,13.90%,24,18.06%,1.6,4.89,,26.70%,7.63  17.25,43.75%,,20.2,16.70%,23.00%,54.64%,0.62,,6.6,46.50%,79.60%,2.56%,0.43,900,7.6,22.30%,11.10%,30.46,5.46%,4.87%,Yes,0.92,7.90%,9.70%,0.77,7.82,Yes,0.92,,0.00%,262.12K,7.82,1.5,12.30%,14.41%,32.85%,"137,452",0.06%
1,ZYNE,"Zynerba Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers  Specialty & Generic,,,,0.82,2.70%,53.65M,5.84%,17.80M,,0.61,0.27%,50.16M,0.73%,36.70M,,0.2,23.70%,0.08% / 0.21,,,,13.60%,0.83%,0.04M,39.79%,0.8,0.42,19.70%,62.80%,5.8,73.41%,0.83,0.4,,75.10%,0.25  1.37,37.28%,,,19.80%,,75.74%,1.74,,5,,,32.96%,0.02,25,5,,,42.94,5.77%,5.93%,Yes,0,0.90%,,0.32,0.34,Yes,0,,,197.11K,0.33,1.7,6.28%,3.46%,29.32%,"42,446",1.07%
2,ZYME,Zymeworks Inc.,Healthcare,Biotechnology,,RUT,2.8,2.58,0.10%,66.74M,2.22%,459.26M,,1.33,,57.01M,13.05%,172.60M,0.25,0.47,78.40%,8.89% / 7.54,,446.10M,1.03,146.40%,0.57%,5.07M,21.29%,7.1,1.02,18.90%,36.00%,14.07,5.33%,5.36,1.35,11.00%,50.50%,4.11  10.80,8.07%,,4.27,42.60%,24.30%,33.10%,0.91,,6.3,51.50%,,75.81%,0.4,304,6.3,1756.90%,39.40%,39.64,4.79%,4.23%,Yes,0,69.20%,38.70%,0.96,7.76,Yes,0,Aug 10 AMC,0.00%,671.59K,7.23,1.9,4.35%,10.41%,13.38%,"440,715",6.89%
3,ZWS,Zurn Elkay Water Solutions Corporation,Industrials,Pollution & Treatment Controls,,RUT,112.57,0.26,0.80%,174.26M,1.64%,5.13B,26.3,1.12,1.92%,167.92M,7.30%,46.70M,8.65,0.27,78.70%,2.87% / 3.41,,1.53B,3.35,7.30%,5.90%,4.82M,23.55%,9.12,3.22,18.96%,1.80%,32,1.54%,0.59,49.81,13.02%,3.30%,19.29  31.77,38.91%,0.28,37.98,17.20%,3.70%,7.52%,1.32,0.95%,1.6,7.10%,37.30%,52.31%,0.7,2700,3,41.90%,7.10%,57.15,1.97%,2.42%,Yes,0.35,34.20%,3.40%,0.28,29.43,Yes,0.35,Jul 24 AMC,93.90%,1.41M,29.38,1.9,0.70%,8.35%,25.27%,"265,026",0.17%
4,ZVSA,"ZyVersa Therapeutics, Inc.",Healthcare,Biotechnology,,,,2.6,54.44%,9.13M,6.09%,4.04M,,,0.00%,4.15M,36.14%,23.90M,,,81.20%,15.98% / 0.32,,,,198.60%,5.52%,0.66M,92.40%,10.64,0.02,,40.30%,,98.38%,0.05,3.11,,56.30%,0.15  25.00,89.83%,,,,,99.36%,0.32,,0.3,,,6.08%,0.02,7,0.3,,,27,6.85%,7.48%,No,0,4.60%,,0.92,0.16,Yes,0,,,2.05M,0.16,,13.47%,38.28%,94.57%,"1,280,816",0.54%
5,ZVRA,"Zevra Therapeutics, Inc.",Healthcare,Biotechnology,,RUT,,1.49,11.39%,34.47M,7.47%,176.22M,,0.65,1.21%,30.02M,7.02%,51.40M,,0.34,22.80%,8.22% / 9.26,,9.40M,18.75,43.00%,6.73%,2.47M,4.60%,2.07,2.5,48.40%,44.20%,18.5,19.81%,2.8,1.85,,58.80%,4.05  6.92,12.85%,,,52.00%,40.40%,25.14%,2.17,,6.7,,,27.90%,0.23,36,6.7,27.50%,,57.29,5.36%,3.81%,Yes,0.25,532.00%,,1.05,4.99,Yes,0.18,Aug 14 BMO,,266.49K,5.18,1.7,6.66%,0.96%,0.49%,"191,015",3.81%
6,ZVIA,Zevia PBC,Consumer Defensive,Beverages  NonAlcoholic,,RUT,,0.57,11.50%,49.37M,3.37%,187.01M,,0.31,12.62%,43.41M,39.98%,25.10M,,0.15,68.60%,1.85% / 3.54,,168.40M,1.11,41.70%,4.58%,0.80M,38.71%,2.22,1.17,26.20%,22.90%,4.56,23.16%,,,29.80%,22.30%,2.40  5.49,36.31%,,,,43.60%,52.55%,0.53,,2.5,,42.90%,8.54%,0.26,110,3.4,13.90%,20.00%,33.52,9.52%,7.73%,Yes,0,85.70%,14.90%,0.58,2.56,Yes,0,Aug 08 BMO,,227.22K,2.61,2.5,19.39%,32.51%,33.68%,"90,232",1.76%
7,ZURA,Zura Bio Limited,Healthcare,Biotechnology,,RUT,,2.56,24.20%,3.55M,7.88%,189.36M,,0.7,1.75%,1.88M,0.74%,6.40M,,0.25,49.00%,9.87% / 0.25,,,,48.20%,4.08%,0.19M,34.60%,7.84,0.86,25.50%,5.50%,17,31.67%,1.56,4.3,,6.00%,4.87  37.55,34.28%,,,,,82.13%,0.45,,8.9,,,37.78%,0.53,,8.9,,,47.68,5.66%,6.37%,No,0,,,0.09,6.73,Yes,0.05,,0.00%,754.05K,6.71,1.3,1.84%,9.75%,28.89%,"48,399",0.30%
8,ZUO,"Zuora, Inc.",Technology,Software  Infrastructure,,RUT,,1.45,0.60%,136.19M,4.23%,1.42B,48.24,0.22,26.16%,127.87M,5.62%,194.10M,,0.04,75.00%,2.60% / 3.20,,406.00M,3.5,88.20%,0.39%,3.33M,20.18%,0.76,13.71,33.33%,29.10%,12.88,5.79%,2.91,3.58,,134.50%,5.45  12.12,63.84%,,,,64.40%,14.02%,1.81,,1.7,18.30%,62.00%,91.19%,0.43,1549,1.7,10.60%,45.30%,44.39,3.37%,3.78%,Yes,0,21.40%,47.80%,0.17,10.42,Yes,2.05,May 24 AMC,,1.04M,10.42,2.2,3.48%,5.07%,19.31%,"117,144",0.00%
9,ZUMZ,Zumiez Inc.,Consumer Cyclical,Apparel Retail,,RUT,123.01,0.16,19.77%,19.20M,2.51%,385.91M,29.75,0.65,1.27%,15.87M,9.91%,3.00M,8.2,0.24,90.90%,5.25% / 1.54,,920.60M,0.42,77.70%,2.36%,0.83M,24.00%,20.41,0.94,208.50%,0.40%,15.5,30.87%,7.73,2.48,15.00%,0.80%,13.19  31.21,11.73%,,,0.50%,4.80%,38.51%,1.48,,1.2,0.70%,32.80%,45.49%,0.66,2600,2.1,17.10%,1.00%,61.9,2.94%,3.23%,Yes,0,,0.30%,0.57,18.48,Yes,0,Jun 01 AMC,0.00%,540.79K,19.19,3,3.63%,12.24%,5.16%,"210,136",3.84%
10,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers  Specialty & Generic,,S&P 500,43.04,4.43,0.20%,463.50M,6.68%,89.17B,31.37,6.08,3.14%,461.19M,11.44%,2.07B,3.83,1.31,94.50%,0.76% / 1.69,,8.09B,11.02,5.20%,0.02%,3.51M,18.51%,9.7,19.65,12.40%,14.80%,216.83,9.49%,4.5,42.36,11.25%,45.70%,124.15  194.99,30.04%,1.5,107.83,15.50%,17.20%,2.27%,0.77,0.79%,1.9,8.80%,69.90%,53.50%,4.52,13800,3.3,0.70%,32.40%,65.14,3.03%,2.56%,Yes,1.46,5.30%,25.60%,0.55,189.1,Yes,1.46,Aug 08 BMO,30.40%,2.08M,190.57,1.9,4.43%,9.40%,15.57%,"782,622",0.78%
11,ZTR,Virtus Global Dividend & Income Fund Inc.,Financial,ClosedEnd Fund  Equity,,,74.75,0.08,0.10%,89.01M,1.81%,410.05M,,,0.00%,68.57M,2.29%,5.80M,,,41.30%, / ,,19.60M,20.92,115.00%,107.98%,,9.67%,5.79,1.03,,0.90%,,23.96%,0.01,1025.12,,1.30%,5.61  7.99,6.08%,0.96,,15.30%,1.40%,25.16%,1.16,16.05%,,2.40%,51.90%,6.62%,0.07,,,2.90%,50.60%,36.41,1.31%,1.13%,No,0.4,121.60%,29.70%,0.59,5.96,Yes,0.4,,,261.64K,5.98,,2.34%,2.16%,5.23%,"105,410",0.34%
12,ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,,,20.08,1.28,0.74%,808.87M,4.37%,20.69B,14.08,1.82,0.00%,604.97M,6.15%,1.06B,7.61,0.32,31.60%,2.83% / 6.47,,5.09B,4.07,43.10%,3.63%,17.14M,7.47%,9.24,2.77,19.70%,9.90%,37.29,0.75%,3.19,8.04,2.64%,14.40%,16.06  30.05,3.41%,,11.31,13.50%,9.30%,14.74%,0.05,,1.3,22.10%,27.30%,59.52%,0.75,24888,1.3,13.70%,23.60%,40.11,2.59%,2.51%,Yes,0.25,77.30%,20.80%,0.57,26.19,Yes,0.13,May 17 AMC,0.00%,2.65M,25.62,1.5,4.35%,3.02%,1.50%,"1,021,591",2.18%
13,ZTEK,Zentek Ltd.,Healthcare,Medical Instruments & Supplies,,,,0.1,5.43%,99.53M,4.96%,150.41M,,,0.00%,94.04M,3.75%,,,,0.75%,0.01% / 0.77,,0.07M,2064.45,,,0.01M,9.95%,0.3,4.95,,,,25.56%,,,,,1.28  2.21,2.50%,,,,,31.62%,0.81,,,,,18.05%,0.06,29,,94.10%,,41.45,3.19%,3.95%,No,,,,5.13,1.55,Yes,,,,17.02K,1.51,,5.27%,5.62%,4.13%,"59,497",2.51%
14,ZSPY,ASYMmetric Smart Alpha S&P 500 ETF,Financial,Exchange Traded Fund,,,,,,,2.07%,,,,,,0.69%,,,,, / ,,,,,,,,,,,,,,,,,,22.06  30.49,15.24%,,,,,5.29%,,,,,,30.91%,0.35,,,,,45.82,0.27%,0.44%,No,,,,0,28.88,Yes,,,,0.43K,28.88,,2.87%,1.43%,10.65%,0,0.00%
15,ZSL,ProShares UltraShort Silver,Financial,Exchange Traded Fund,,,,,,,8.62%,,,,,,20.47%,,,,, / ,,,,,,,9.90%,,,,,,30.97%,,,,,15.75  41.76,7.05%,,,,,50.53%,1.18,,,,,31.17%,0.65,,,,,64.9,2.66%,2.74%,Yes,,,,0.49,20.54,Yes,,,,461.19K,20.66,,13.44%,8.61%,1.18%,"154,500",0.58%
16,ZS,"Zscaler, Inc.",Technology,Software  Infrastructure,,NDX,,1.88,1.00%,145.35M,2.00%,21.55B,67.95,2.11,7.30%,88.03M,1.32%,269.30M,,0.46,49.60%,6.51% / 2.15,,1.48B,14.56,43.40%,5.58%,5.73M,3.00%,4.14,34.6,29.09%,9.00%,175,20.61%,13.08,10.95,60.58%,50.50%,84.93  194.21,28.00%,,70.21,48.50%,21.70%,26.25%,0.86,,2,54.10%,77.80%,68.64%,6.61,4975,2,46.00%,18.40%,45.14,3.59%,4.13%,Yes,1.9,55.80%,18.20%,0.37,144.3,Yes,1.9,Jun 01 AMC,,2.66M,143.23,2,5.21%,3.61%,12.80%,"676,588",0.74%
17,ZROZ,PIMCO 25+ Year Zero Coupon U.S. Treasury Index ETF,Financial,Exchange Traded Fund,,,,,,,1.60%,,,,,,9.12%,,,,, / ,,,,,,,13.61%,,,,,,26.82%,,,,,77.51  110.65,6.96%,2.76,,,,26.58%,0.07,3.40%,,,,4.81%,1.62,,,,,34.67,1.71%,1.40%,Yes,,,,1.73,81.29,Yes,,,,214.25K,81.24,,5.94%,8.37%,11.04%,"252,202",0.06%
